Resort Name,Affiliate link,pridce level,Average Customer Rating,Food Rating (1-10),Beach Ranking (1-10),Pool Rating (1-10),Atmosphere Rating (1-10),Location Rank (1-10),Room Ratings (1-10),Value Rating (1-10),Cleanliness Rating (1-10),Service Rating (1-10),Sleep Quality (1-10),Country,Area,Airport,"Family /
Adults Only",Notes,Amenities
Nayara Bocas Del Toro,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&hid=70643919,$$$$,9.9,9.2,N/A,9.3,9.8,9.7,9.8,9.1,9.8,9.8,9.6,Panama,Tierra Oscura,Bocas Del Toro,Adults Only,16+ Allowed,"Beach, Hiking, Fishing, Gym, Room Service, Diving, Snorkelling, Wi-Fi Free"
"The Aerial, BVI",https://www.agoda.com/en-us/the-aerial-bvi-all-inclusive-h86875752/hotel/the-mill-vg.html?cid=1959986,$$$$,9.8,8.8,8.0,7.8,9.2,9.7,9.5,9.1,9.6,9.8,9.7,British Virgin Islands,Buck Island,Beef Island,Family,,"Beach, Heated Pool, Spa, Gym, Horseback Riding, Watersports Equipment Rentals, Hiking, Snorkelling, Yoga Classes, Wi-Fi Free"
Coco Plum Island Resort,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&hid=260388,$$$$,9.9,8.5,8.5,6.6,8.8,9.7,9.6,9.6,9.7,9.9,9.4,Belize,Coco Plum Cay,Philip S.W. Goldson,Adults Only,,"Beach, Diving, Fishing, Yoga Classes, Snorkelling, Watersports Equipment Rentals, Wi-Fi Free"
Sansara Surf & Yoga Resort,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&hid=1003976,$$$$,9.9,8.6,7.0,7.1,8.8,9.5,9.5,9.2,9.7,9.7,9.4,Panama,Cambutal,Tocumen,Family,,"Yoga Classes, Bicycles Available, Hiking, Snorkelling, Beach, Adult Pool, Horseback Riding, Fishing, Spa, Wi-Fi Free"
Serenity at Coconut Bay,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&hid=5675078,$$$$,9.9,8.7,5.3,8.5,8.7,9.1,9.7,9.5,9.7,9.8,9.7,Saint Lucia,Vieux Fort,Hewanorra,Adults Only,,"Beach, Gym, Spa, Tennis, Snorkelling, Room Service, Evening Entertainment, Buffet, Wi-Fi Free"
Fairmont Heritage Place Mayakoba,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&hid=17641650,$$$$,9.8,9.0,6.5,8.6,8.8,9.8,9.7,8.9,9.8,9.7,9.4,Mexico,Playa del Carmen,Cancun,Family,,"Beach, Kids Club, Gym, Golf Course, Tennis, Spa, Babysitting, Archery, Snorkelling, Windsurfing, Pets Allowed, Bicycles Available, Hiking, Watersports Equipment Rentals, Yoga Classes, Room Service, Evening Entertainment, Wi-Fi Free, Rooms for 5+ People"
Grand Velas Boutique Hotel Los Cabos,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&hid=61384910,$$$$,9.9,9.7,7.1,8.9,9.3,9.6,9.9,9.3,9.9,9.9,9.9,Mexico,Los Cabos,Los Cabos,Adults Only,,"Beach, Heated Pool, Snorkelling, Fishing, Nightclub, Spa, Gym, Yoga Classes, Swim Up Bar, Room Service, Evening Entertainment, Buffet, Wi-Fi Free"
Villa on Dunbar Rock,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&city=706194,,9.7,7.6,N/A,7.3,8.4,9.5,9.3,9.5,9.4,9.5,9.1,Honduras,Guanaja,Roatan,Adults Only,,"Beach, Gym, Diving, Snorkelling, Wi-Fi Free"
Japaratinga Lounge Resort,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&hid=6175367,$$$$,9.7,7.7,7.8,7.2,8.0,9.0,9.4,9.0,9.5,9.5,9.4,Brazil,Japaratinga,Palmares,Family,,"Gym, Bicycles Available, Lazy River, Snorkelling, Evening Entertainment, Pets Allowed, Beach, Heated Pool, Hiking, Nightclub, Kids Club, Buffet, Wi-Fi Free"
Palafitos Overwater Bungalows,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&hid=10913807,$$$$,9.7,8.8,6.3,8.0,9.2,9.7,9.9,9.0,9.8,9.7,9.6,Mexico,Playa del Carmen,Cancun,Adults Only,,"Beach, Gym, Spa, Nightclub, Room Service, Wi-Fi Free"
Calabash Hotel,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1959986&hl=en-us&hid=374759,$$$$,9.7,9.4,7.5,7.6,8.7,9.3,9.5,9.0,9.7,9.8,9.7,Grenada,Lance aux Epines,Point Saline,Family,"Can't Book Kids Online, Max 3 per Room","Beach, Gym, Diving, Babysitting, Tennis, Snorkelling, Yoga Classes, Room Service, Wi-Fi Free"
